Station,diatoms,dinoflagellates,chrysophyceae,cyanobacterua,Pro,Syn,Euk,bacteria
E87-36,0.006306069,0.001962184,0,0,0.04,0.14,1.87,10.58
E87-28,0.026126307,0,0.012905885,0,0.08,0.23,0.19,8.39
E80-10,0.019910295,0.001598042,0.006452942,0,0.09,0.74,0.03,37.17
EQ-02,0.031502046,0.007494981,0.02581177,0,0.68,0.68,0.87,35.56
E80-02,0.040195802,0.001962184,0.012905885,0,0.59,1.44,0.38,57.65
E80-05,0.010448393,0.001142642,0,0,0.98,1.68,0.18,61.9
EQ-04,0.022007803,0,0,0,0.64,0.76,0.6,29.58
E87-22,0.000533712,0,0.019358827,0,0.04,0.26,0.01,13.73
E87-18    ,0.001319039,0.117812212,0.006452942,0,0.57,0.02,1.08,39.44
EQ-07,0.01264684,0,0.006452942,0,0.13,0.74,0.03,13.2
EQ-09,0.039545396,0.00525987,0.02581177,0,0.01,1.41,0.07,13.49
E87-11,0.001477511,0.005896939,0,0,0.22,0.62,2.12,53.68
E87-07,0.062229745,0.001962184,0,0,0.8,0.03,0.04,120.44
E87-01,0.012843158,0,0.006452942,0,1.78,0.01,0.84,19.59
