Station,DMS,DMSPd,DMSPp,DMSOd,DMSOp,Temperature,salinity,NOx-N,SiO3-Si,PO4-P,chl-a
E87-36,0.34371,0.23977,0.55208,0.07813,0.13554,23.8366,34.8121,11.52857,6.63571,1.98529,0.33326
E87-32,0.68022,0.16847,0.04477,0.28507,0.25505,25.4569,34.6834,6.73571,3.775,1.25,0.44291
E87-28,0.20796,0.03139,1.65132,1.03454,1.13728,26.665,34.8732,7.39286,4.93214,1.40931,0.17593
E80-10,2.06199,0.0746,0.56964,2.41532,0.08176,26.8757,35.1229,4.05,2.01429,0.19608,0.61031
EQ-02,4.31852,0.07992,1.40202,0.28127,0.24423,29.0067,34.5787,0.27857,0.38571,0.19608,0.68771
E80-02,5.94989,0.03431,0.30583,0.60855,3.7255,24.8099,35.2117,2.14286,1.17143,0.64951,0.65666
E87-22,5.65961,0.07894,1.09184,0.40015,1.85803,29.0593,35.0302,1.00714,0.66786,0.19608,0.65305
E87-18    ,1.66272,0.21442,1.26014,0.16465,0.01826,28.6081,34.6801,1.49286,0.63929,0.29412,0.64995
E87-14,3.56904,0.5207,0.93592,0.19899,0.61459,26.1016,35.2009,1.95714,1.36786,0.64951,0.64513
EQ-07,3.72667,0.33855,0.03898,0.57662,2.34292,29.0598,34.8752,1.36429,0.39643,0.15931,0.62744
EQ-09,5.17302,0.02295,1.02962,0.78343,9.00807,29.091,34.7807,1.07857,0.44643,0.1348,0.58837
E87-11,4.4509,0.02841,1.92879,0.09462,0.27057,25.3105,35.1126,0.57143,1.08214,1.09069,0.74316
E87-01,0.42171,0.13723,2.00197,0.47882,0.15828,23.2359,34.9331,1.47857,0.63571,0.18382,0.56705
